Name,Age,Salary,Department
Marie Phelps,26,7357.73,HR
Bertie Lynch,63,6776.85,IT
Eva Black,34,5717.81,MGMT
Winnie Fletcher,39,9693.86,SALES
Dora Manning,23,3164.16,SALES
Leroy Francis,34,2907.33,SALES
Lilly Sparks,26,763.32,FINANCE
William Freeman,46,3148.31,IT
Effie Morrison,59,1664.93,MGMT
Nancy Riley,41,2472.41,IT
Joshua Lane,20,1054.93,SALES
Darrell Beck,55,9226,DISTIBUTION
Viola Patrick,41,8744.87,DISTIBUTION
Ella Reynolds,27,4948.28,FINANCE
Tyler Wilkins,35,5758.26,HR
Gavin Ford,40,5908.92,MGMT
Ida Harper,53,4127.28,IT
Marguerite Horton,35,130.55,SALES
Hunter Gibson,27,6926.67,SALES
Wayne Ford,27,705.08,MGMT
Franklin Cannon,65,4349.35,FINANCE
Joshua Lloyd,48,7443.82,FINANCE
Myrtle Bowers,39,4704.06,SALES
Willie Pittman,56,7931.22,DISTIBUTION
Lou Carter,51,4745.48,IT
Ronald Wheeler,63,4035.58,DISTIBUTION
Frederick Keller,30,9314.4,MGMT
Johanna Mendez,22,401.27,DISTIBUTION
Seth Harmon,61,228.97,FINANCE
Wayne Guerrero,63,3273.52,IT
Tony Lane,57,4513.31,DISTIBUTION
Chester Ruiz,58,6888.21,MGMT
Brent Lane,48,2210.62,DISTIBUTION
Rosalie Douglas,24,4906.72,SALES
Mable Cox,54,6813.44,SALES
Nora Medina,23,8754.44,DEVELOPMENT
Carl Richardson,36,4925.91,SALES
Allie Lambert,39,5163.44,SECURITY
Larry Pena,40,2672.02,SALES
Ruby McBride,51,5450.98,LEGAL
Keith Taylor,45,9894.38,DEVELOPMENT
Emily George,62,2476.1,CEO
Johnny Mason,19,9548.75,WAREHOUSE
Mable Floyd,65,4010.1,IT
Ann Weber,57,712.28,WAREHOUSE
Randy Barton,63,6061.01,FINANCE
Dorothy Barrett,43,6710.65,IT
Jack McDonald,32,6217.65,SECURITY
Larry McCoy,52,3056.79,FINANCE
Lucy Stokes,40,1338.29,IT
Derek Floyd,49,2446.51,MGMT
Lottie Klein,24,2894.88,DEVELOPMENT
Lenora Burns,19,5042.01,DISTIBUTION
Wesley Abbott,18,606.99,LEGAL
Vernon Huff,49,724.19,DISTIBUTION
Steven Douglas,49,678.2,UNASSIGNED
Alexander Houston,50,856.37,FINANCE
Lee Castro,56,4815.26,FINANCE
Scott Watson,27,8442.91,DISTIBUTION
Matilda Keller,50,2667.94,DISTIBUTION
Justin Walton,51,9227.46,SECURITY
Sara Dean,62,6606.85,DISTIBUTION
Jose Ellis,63,7554.82,MGMT
Katharine Christensen,54,2387.42,UNASSIGNED
Don Aguilar,38,244.07,LEGAL
Sarah Anderson,38,8015.51,DISTIBUTION
Ernest Thompson,35,5732.24,SECURITY
Alejandro Lindsey,54,2671.64,MGMT
Edwin Swanson,30,281.28,DISTIBUTION
Mayme Patrick,49,3167.48,DISTIBUTION
Michael Barton,20,9665.22,IT
Tony Bryan,19,2543.71,DISTIBUTION
Jose Sims,33,8474.73,DEVELOPMENT
Annie Swanson,33,8880.76,UNASSIGNED
Thomas Fox,21,6540.37,MGMT
Georgia Hudson,35,5176.05,IT
Marc Howell,32,4649.74,UNASSIGNED
Violet Mendoza,30,5297.09,DISTIBUTION
Anthony Gregory,19,3484.8,MGMT
Craig Barnes,47,4314.11,MGMT
Frances Alvarado,34,5512.78,DISTIBUTION
Alma Brewer,51,315.75,UNASSIGNED
Lelia McCoy,22,1598.47,DISTIBUTION
Maud Morrison,59,322.84,UNASSIGNED
Nathan Hicks,29,4793.41,HR
Francis Shelton,64,9350.82,MGMT
Micheal Wells,43,6022.29,DEVELOPMENT
Alfred Berry,63,6425.14,HR
Alexander Burgess,59,3451.31,DISTIBUTION
Seth Douglas,54,3969.74,DEVELOPMENT
Helen Keller,32,5861.83,HR
Calvin Mitchell,29,2349.33,WAREHOUSE
Effie McGee,40,9110.32,MGMT
Caroline Ortega,22,7475.52,WAREHOUSE
Milton Bowen,54,2976.59,WAREHOUSE
Sadie Ballard,22,9543.37,UNASSIGNED
Nicholas Farmer,57,1655.97,DEVELOPMENT
Carrie Patterson,64,108.09,WAREHOUSE
Barbara Bridges,46,4404.81,HR
Lottie McCormick,19,4885.87,MGMT
